,Lng,Lat,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),Wind Speed (mph)
394,-31.30331001798641,-44.73790508351575,cidreira,br,75.04,79.0,0.0,11.12,24.8747728
396,20.34090689756429,67.42634979232221,kiruna,se,33.8,69.0,18.0,13.87,31.0263578
397,151.32530543783037,-28.1980821725492,warwick,au,64.0,84.0,56.0,11.92,26.664324800000003
401,-80.77655628747729,20.14574408210147,bodden town,ky,77.41,79.0,0.0,20.0,44.738800000000005
405,-157.01546562471194,-0.242048042422649,faanui,pf,83.14,75.0,94.0,10.0,22.369400000000002
406,-82.82929594958135,14.252788726954401,puerto cabezas,ni,71.98,96.0,1.0,4.38,9.7977972
407,23.626656424162483,42.09798970196267,jakoruda,bg,,,,,
408,108.11595281781592,17.013375248126906,hue,vn,86.0,74.0,40.0,10.29,23.0181126
409,74.21728713322476,59.1980621007883,lokosovo,ru,22.84,90.0,44.0,10.36,23.1746984
410,179.89514388045401,58.470342180063426,beringovskiy,ru,0.52,99.0,97.0,1.52,3.4001488
418,114.99274272705942,63.399730354375215,almaznyy,ru,39.2,93.0,90.0,17.9,40.041226
423,95.55206959282134,46.57975348105633,erzin,ru,14.56,86.0,100.0,4.81,10.7596814
428,45.42289339465129,29.39606657947963,doha,kw,,,,,
432,-120.25671772749216,61.37212331966132,fort nelson,ca,32.0,84.0,20.0,2.24,5.010745600000001
433,51.182045309476564,34.3951801172386,qom,ir,55.78,19.0,0.0,1.59,3.5567346000000004
434,-54.04254074514263,36.38120682504585,saint-pierre,pm,16.54,69.0,60.0,15.46,34.583092400000005
438,-17.673221505602733,57.03031523564962,vestmannaeyjar,is,33.28,63.0,100.0,15.05,33.665947
440,-17.202560764295537,19.566705370018912,nouadhibou,mr,70.72,42.0,0.0,17.81,39.8399014
442,36.93441997692288,-32.99546192913575,richards bay,za,74.5,80.0,0.0,5.91,13.2203154
443,23.649279902042352,46.4087748947353,livezile,ro,39.0,91.0,99.0,2.53,5.6594581999999996
445,-125.18836122504007,42.556018588280345,coos bay,us,41.02,93.0,1.0,3.06,6.845036400000001
448,-17.59350077600901,27.18797628193975,adeje,es,63.21,63.0,0.0,3.36,7.5161184
452,75.02124599041034,71.8082699771854,tazovskiy,ru,1.42,95.0,81.0,19.04,42.5913376
454,-105.558462736751,3.6088145220253276,acapulco,mx,78.8,78.0,40.0,3.11,6.956883400000001
457,-29.12257814209798,56.28739791633496,grindavik,is,30.2,63.0,100.0,20.8,46.528352000000005
458,-68.32335131390208,-17.807374321136482,patacamaya,bo,42.1,89.0,30.0,2.28,5.1002232
461,147.59997682821967,-22.901943565503004,emerald,au,83.61,58.0,90.0,11.41,25.523485400000002
463,165.3427288819291,-44.94461947170401,te anau,nz,50.38,85.0,95.0,6.6,14.763804
466,-6.987840321855021,37.87178816931546,valverde del camino,es,55.0,58.0,1.0,1.99,4.451510600000001
475,39.732135541290894,24.42110082922725,umm lajj,sa,82.42,14.0,0.0,2.17,4.854159800000001
478,22.75605832734009,48.3557273572223,mukacheve,ua,35.22,92.0,95.0,3.87,8.6569578
479,127.23876123340368,-20.742952589140984,kununurra,au,98.6,25.0,0.0,6.93,15.5019942
481,131.60653855385206,-23.822146151021318,yulara,au,98.6,11.0,0.0,8.05,18.007367000000002
482,163.50106652127388,-46.64328391607449,tuatapere,nz,53.01,80.0,100.0,8.99,20.110090600000003
483,129.8539373829471,64.03998118179452,namtsy,ru,12.2,56.0,100.0,6.71,15.009867400000001
484,-104.46997771653339,15.097048609809438,la orilla,mx,72.88,79.0,19.0,2.64,5.905521600000001
486,27.6812062833107,18.275749777618778,marawi,sd,82.42,15.0,0.0,8.93,19.9758742
